name,age,birthday,occupation,hometown,another_category
Jordan Hames,28,"March 6, 1995",Model,"Manchester, England",Dumped
Jordan Morello,30,"February 20, 1993",Personal Trainer,"Plantation, Florida",Dumped
Jordan Odofin,28,"May 14, 1994",Senior HR Advisor,"London, England",Dumped
Jordan Ring,39,"June 29, 1983",Hotel Groundsman,"Gloucester, England",Dumped
Jordan Tilli,28,,Business development manager,"Melbourne, Victoria",Dumped
Jordan Waobikeze,24,1995,Administrator,"London, England",Dumped
Josh Denzel,31,"June 22, 1991",,"London, England",3rd Place
Josh Goldstein,26,"September 10, 1996",College Athlete,"Haverhill, Massachusetts",Walked
Josh Kempton,24,"November 4, 1998",Model,"Surrey, England",Day 26
Josh Le Grove,23,"October 2, 1999",Model,"Essex, England",Dumped
Josh Mair,26,"October 22, 1996[1]",DJFitness Model,"Birmingham, England",Dumped
Josh Moss,30,"January 16, 1993",Sports Administrator,"Sydney, Australia",Third Place
Josh Packham,28,"October 14, 1994",Mortgage Broker,"Northern Beaches, New South Wales",Winner
Josh Ritchie,28,"May 21, 1994",Joiner,"Bolton, England",3rd Place
Jourdan Riane,28,"March 18, 1995","Model, Actor and Influencer","London, England",Dumped
Julia Drewa,21,,Personal Trainer,"Malbork, Poland",Participating
Julia Dylewska,19,,,"Koszalin, Poland",Participating
Julia Hall,28,"January 2, 1995",Realtor,"Miami, Florida",Dumped
Julia Karagianni,,,Stylist,"Athens, Greece",Dumped
Julia Oemler,25,,Independent Trainer,"Halle, Germany",Dumped
Justin Lacko,32,"November 22, 1990",Model,"Melbourne, Australia",Dumped
Justine Ndiba,30,"March 12, 1993",Billing coordinator and go-go dancer,"Rockaway, New Jersey",Winner
Justyna Walczak,31,,Store Manager,"Zielona Góra, Poland",Participating
K-Ci Maultsby,,,Barber/Personal Trainer,"San Jose, California",Dumped
Kady McDermott,27,"September 4, 1995",Make-up Artist,"Stevenage, England",3rd Place
Kai Fagan,25,"May 1, 1998",Science and PE teacher,"Manchester, England",Winner
Kaila Troy,"January 4, 1993",30,International DJ,"Dublin, Ireland",Dumped
Kain Reed,,,Energy Consultant,"Gateshead, England",Dumped
Kaitlynn Anderson,29,"June 7, 1993",Promotions,"Lapeer, Michigan",Dumped
Kamil Al-Temimi,25,,Boxer,"Gdynia, Poland",Participating
Kamil Rybak,32,,Interior Finishing,"Warsaw, Poland",4th Place
Kamryn Mickens-Bennett,,,Student,"Summit, New Jersey",Dumped
Karolina Radziszewska,32,,Model,"London, England",Dumped
Katerina Vagancia,,,BarwomanModel,"Athens, Greece",Participating
Katherine Gibson,22,"February 10, 2001",Influencer,"Manassas, Virginia",Walked
Katie Salmon,27,"November 24, 1995",Glamour Model,"Liverpool, England",4th Place
Katrina Dimaranan,25,,College student and beauty queen,"San Francisco, California",Dumped
Kay Taylor,,,Swimsuit Line Owner,"Calabasas, California",Dumped
Kazimir Crossley,29,"January 19, 1994",Model,"London, England",3rd Place
Keanan Brand,24,"January 8, 1999",Pro rugby player,"Wigan, England",Dumped
Kelsey Jurewicz,27,"April 25, 1993",Mortgage marketing manager,"Newark, Delaware, U.S.",Walked
Kem Cetinay,27,"April 25, 1996",Hairdresser,"Essex, England",Winner
Kendall Rae-Knight,31,"January 28, 1992",Retail Manager,"Blackpool, England",Dumped
Keon Johnson,,1997,Real Estate Broker,"Montreal, Canada",Runner-Up
Kevin Gagnon,24,,Private Trainer,"Windsor, Canada",Participating
Kharl Estinville,23,,,"Pincourt, Canada",Walked
Kieran Nicholls,31,"April 5, 1992",Fitness InstructorChef (former),"London, England",Dumped
Kierstan Saulter,25,"July 14, 1997",Bartender,"Castroville, Texas",Dumped
Kim Hartnett,27,"March 24, 1996",ModelBeauty Queen,"Melbourne, Australia",Dumped
Kim Tremblay,21,,Beautician,"Val-d'Or, Canada",Participating
Kinga Rafalska,28,,,"Bydgoszcz, Poland",Dumped
Klaudia Bogumił,32,,Real Estate Agent,"Gdańsk, Poland",Dumped
Konrad Przeniosło,28,,Model,"Toronto, Canada",Dumped
Korey Gandy,30,"July 23, 1992",Rental Car Agent,"Virginia Beach, Virginia",Winner
Kuba Wojnowski,,,,"Oslo, Norway",Participating
Kyle Fraser,29,,,"Buffalo, New York",Walked
Kyra Green,26,"March 6, 1997",Musician,"Los Angeles, California",Dumped
Kyra Lizama,25,"August 2, 1997",Covid Relief Worker,"Honolulu, Hawaii",Runner-Up
Lacey Edwards,26,"November 9, 1996",,"Swindon, England",Dumped
Lakeyn Call,21,1998,Marketing Student,"Yorktown, Virginia",Dumped
Lana Jenkins,25,"November 9, 1997",Makeup artist,"Luton, England",Runner-Up
Laura Anderson,34,"April 27, 1989",Air Hostess,"Stirling, Scotland",Runner-Up
Laura Crane,28,"January 17, 1995",SurferModel,"Devon, England",Dumped
Laura Lee,25,,Retail Saleswoman,"Stuttgart, Germany",4th Place
Laurel Goldman,25,"October 1, 1997",Eyelash artist,"Auburn, Alabama",4th Place
Lauren Coogan,28,,Family assistant,"Oxford, England",Dumped
Lauren Richardson,34,"January 29, 1989",Community sports officer (former)PE Teacher,"East London, England",3rd Place
Lauren Whiteside,32,"July 6, 1990",Events Manager,"Blackpool, England",Dumped
Lavena Back,23,"February 9, 1996",Business Developer,"Croydon, England",Dumped
Layla Al-Momani,28,"November 9, 1994",Brand Managing Director,"Kingston, England",Dumped
Layla John,,,StudentDancer,"Melbourne, Victoria",Dumped
Leanne Amaning,25,"June 2, 1997",Customer service advisor,"London, England",Dumped
Lei-Yen Rapp,,,Model,"Houston, Texas",Dumped
Leslie Golden,26,"April 17, 1997",Model,"Redwater, Texas",Removed
Lexy Thornberry,22,"March 5, 2001",BartenderStudent,"Brisbane, Queensland",Dumped
Lia Kundlova,,,Marketing Student,"Presov, Slovakia",Dumped
Liam Llewellyn,23,"July 25, 1999",Student,"Newport, South Wales",Walked
Liam Reardon,23,"August 18, 1999",Bricklayer,"Merthyr Tydfil, Wales",Winner
Liana Isadora Van Riel,27,"August 9, 1995",Stripper,"Exeter, England",Dumped
Liberty Poole,23,"September 2, 1999",Waitress and Marketing Student,"Birmingham, England",Walked
Lillie Haynes,24,"November 10, 1998",Trainee Accountant,"South Shields, England",Dumped
Lina Schrdr,22,,Student,"Wuppertal, Germany",3rd Place
Linnea Hejll,24,,Unemployed,"Västervik, Sweden",Dumped
Linus Mogren Wiberg,,,Personal Trainer,"Örebro, Sweden",Dumped
Lisa Celander,,,Skin therapist,"Majorca, Spain",Participating
Lisa Crafoord,25,"April 17, 1994",,"Göteborg, Sweden",Participating
Lisa Saxony,22,,Waitress,"Elsterberg, Germany",Dumped
Lisa Siden,,,Influencer,"Stockholm, Sweden",Participating
Lisa van Zuylen,21,,Model,"Mijdrecht, Netherlands",Runner-Up
Lorie Boucher,20,,Esthetician,"Saint-Philippe, Canada",Participating
Louh Adam Therrien,,,Influencer,"Montmagny, Canada",Dumped
Luca Bish,23,"May 14, 1999",Fishmonger,"Brighton, England",Runner-Up
Luca Derin,22,,Bartender,"Limburg, Netherlands",Dumped
Lucie Donlan,25,"November 28, 1997",Surfer,"Newquay, England",Dumped
Lucinda Strafford,23,"November 4, 1999",Online Fashion Boutique Owner,"Brighton, England",Dumped
Luis Morrison,28,"July 22, 1994",Former professional footballer,"London, England",4th Place
Luke Mabbott,27,"May 4, 1995",Heating engineer,"Redcar, England",3rd Place
Luke Packham,28,"October 14, 1994",Synthetic Grass Installer,"Northern Beaches, New South Wales",Dumped
Luke Trotman,25,"June 4, 1997",Heating engineer,"Luton, England",Runner-Up
Lydia Karakyriakou,22,"July 25, 2000",Retail Customer Assistant,"Glasgow, Scotland",Dumped
Lynda Flix,22,"June 20, 2000",Healthcare Assistant and Singer,"Salford, England",Participating
Léonie D'Amours,26,,Private Trainer,"Quebec, Canada",Participating
Mackenzie Dipman,26,"August 20, 1996",Student,"Scottsdale, Arizona",Dumped
Maddy Banks,,"October 4, 1996",HR Advisor,"Perth, Western Australia",Participating
Madeline Wilcox,25,"August 27, 1997",Makeup artist,"Melbourne, Victoria",Runner-Up
Madison McLanahan,26,"May 22, 1996",Social Media Marketing Manager,"Dallas, Texas",Walked
Maeva Lemay,,,Waitress,"Montreal, Canada",Dumped
Malia Arkian,33,"June 24, 1989",Singer,"Wilmslow, England",Removed
Malin Andersson,30,"October 20, 1992",Makeup Artist,"Bedfordshire, England",Dumped
Mallory Santic,25,"September 10, 1993",Analyst,"Vancouver, Washington",Dumped
Manuel Bergman,,,Entrepreneur,"Stockholm, Sweden",Walked
Marcel Avdic,22,,Financial Manager,"Stuttgart, Germany",Dumped
Marcel Somerville,37,"January 7, 1986",Singer,"London, England",4th Place
Marek Cote,,,Entrepreneur,"Trois-Rivières, Canada",Dumped
Margarita Smith,26,,Aged Care Worker,"Melbourne, Victoria",Dumped
Maria Astoglou,,,Physiotherapy student,"Thessaloniki, Greece",Participating
Maria Wild,22,"November 28, 1996",VIP Host,"Cheltenham, England",Dumped
Marilou Lacharité,,,Hairdresser,"Mirabel, Canada",Dumped
Marino Katsouris,28,"December 14, 1994",Personal trainer,"Brighton, England",Dumped
Marius Helstad,26,,Chiropractor,"Langhus, Norway",Dumped
Marli Tyndall,21,"April 25, 1998",Bartender and Student,"Miami, Florida",Participating
Marta Borkowska,29,"April 2, 1994",Fitness trainerModel,"Łódź, Poland",Participating
Marta Kowalska,28,,Event Manager,"Łask, Poland",Participating
Martin Akinola,27,"December 14, 1995",Senior Software Engineer,"Dublin, Ireland",Dumped
Marvin Brooks,33,"August 6, 1989",Personal trainer and ex royal navy officer,"Bournemouth, England",Dumped
Mary Bedford,23,"July 14, 1999",Model,"Wakefield, England",Dumped
Mateusz Górski,29,,Pizzeria Owner,"Poznań, Poland",Dumped
Mateusz Mitko,28,,Miner,"Pszów, Poland",Participating
Mateusz Świerczyński,27,,Vegetable trader,"Warsaw, Poland",Participating
Matthew MacNabb,28,"January 5, 1995",Strategic Marketing Consultant,"Belfast, Ireland",Dumped
Matthew Zukowski,27,"July 3, 1995",Wrestler and Model,"Melbourne, Australia",Runner-Up
Maura Higgins,32,"November 25, 1990",Model and grid girl,"County Longford, Ireland",4th Place
Maurice Salib,30,"May 17, 1992",Business Owner,"Sydney, Australia",Dumped
Max Morley,30,"January 24, 1993",Professional cricketer,"Huddersfield, England",Winner
Maxwell Samuda,24,"April 16, 1999",Finance Student and Restaurant Host,"London, England",Dumped
Medhy Malanda,26,"March 25, 1997",American football player and Model,"Luton, England",Dumped
Megan Barton Hanson,29,"March 6, 1994",Model,"Essex, England",4th Place
Melinda Johansson,23,,Social Psychiatrist,"Varberg, Sweden",Participating
Melissa Durna,23,,Customer Service Employee,"Herrenberg, Germany",Walked
Melody Vroom,21,,Horse rider,"Emmen, Netherlands",Dumped
Melvin Holland Jr.,27,"December 3, 1995",Delivery Driver,"Ashburn, Virignia",Dumped
Mercades Schell,26,,Nanny,"Las Cruces, New Mexico",Dumped
Michael Griffiths,31,"October 2, 1991",Firefighter,"Liverpool, England",Dumped
Michael Yi,29,"November 28, 1989",Model,"Miami, Florida",Dumped
Michel Bergman,,,,"Stockholm, Sweden",Dumped
Michela Louis,,,Model,"Sydney, New South Wales",Dumped
Mie Cappelen,22,,Student,"Oslo, Norway",3rd Place
Mike Boateng,27,"August 4, 1995",Police officer,"Manchester, England",Dumped
Mike Jenkerson,26,,Sales representative,"San Jose, California",Dumped
Mike Thalassitis,,"January 19, 1993",Semi-professional Footballer,"North London, England",Dumped
Millie Court,26,"December 4, 1996",Fashion Buyer,"Essex, England",Winner
Millie Fuller,29,"November 26, 1993",Animal Handler,"Sydney, Australia",Dumped
Mischa Mayer,27,,Firefighter,"Ludgwigshafen, Germany",4th Place
Mitchell Eliot,,,Personal Trainer,"Sydney, New South Wales",Participating
Mitchell Hibberd,26,"September 23, 1996",Footballer,"Melbourne, Victoria",Winner
Mohab Elnahas,,,Pro-athlete,"Montreal, Canada",Dumped
Moira Tumas,31,"October 1, 1991",Shopping Channel Model,"Brielle, New Jersey",3rd Place
Mollie Salmon,23,,Beauty Therapist,"Southampton, England",Dumped
Molly Smith,29,"April 25, 1994",Model,"Manchester, England",Dumped
Molly-Mae Hague,23,"May 25, 1999",Social media influencer,"Manchester, England",Runner-Up
Moly Gradito,,,Insurance Agent,"Saint-Jérôme, Canada",Dumped
Montana Brown,27,"August 29, 1995",Student,"Hertfordshire, England",Dumped
Música Pereyra,,,Model,"Orlando, Florida",Eliminated
Nabila Badda,29,"November 28, 1989",Hostess,"London, England",Dumped
Nadia Blouin,27,"May 30, 1995",Beneficiary attendant,"Sherbrooke, Canada",Walked
Nadjha Day,23,"July 21, 1999",Student,"Atlanta, Georgia",Walked
Naomi Ball,31,"July 2, 1991",Operations manager,"East London, England",Dumped
Nas Majeed,27,"February 24, 1996",Sports science graduate and builder,"London, England",Dumped
Natalia Hudeckova,,,Interior Designer,"Bratislava, Slovakia",Dumped
Natalia Łempicka,23,,Ring girlModel,"Elk, Poland",Walked
Natalia Wydrzyńska,24,,Linergist,"Warsaw, Poland",Dumped
Natalia Zoppa,23,"July 5, 1999",Student and Club Promoter,"Manchester, England",Dumped
Natascha der Kinderen,24,,Dancer,"Rotterdam, Netherlands",Dumped
Natasha Cherie,29,"April 19, 1994",Beautician,"Perth, Australia",Dumped
Nathalia Campos,23,"October 14, 1999",Operations Manager,"London, England",Dumped
Nathalia Goncalves,27,,Production employee,"Halle, Germany",Dumped
Nathan Joseph,31,"February 1, 1992",Salesman,"Essex, England",Dumped
Nathan Kahungu,26,,Training Manager,"Sarpsborg, Norway",Dumped
Nathan Massey,30,"June 27, 1992",Carpenter,"Essex, England",Winner
Niall Aslam,27,"July 13, 1995",StudentConstruction Worker,"Coventry, England",Walked
Nicci Hernestig,,,Twitch streamer,"Ekero, Sweden",Participating
Nicholas Birchall,22,,Real Estate Agent,"Caracas, Venezuela",Walked
Nick van Volen,21,,DJ,"Amsterdam, Netherlands",4th Place
Nicki Iliopoulou,,,PhotographerModel,"Athens, Greece",Participating
Nicolas Love,,,Luxury Yacht Director,"Sydney, New South Wales",Dumped
Nkazana Kamwi,28,"October 27, 1994",Fashion Blogger,"Essex, England",4th Place
Noah Hura,25,"January 31, 1998",Emergency responder,"Perth, Western Australia",Dumped
Noah Purvis,24,,Home Healthcare Provider,"Imperial, Missouri",Removed
Nora Haukland,22,,Real Estate broker,"Alta, Norway",Winner
Oda Lindsetmo,22,,Doorkeeper,"Trondheim, Norway",Dumped
Ola Tomala,31,"February 13, 1992",Equestrian Trainer,"Warsaw, Poland",Dumped
Oliver Erngart,22,,Personal trainer,"Køge, Denmark",Winner
Oliver Maxwell Fernandez,,,Model,"Hertfordshire, England",Dumped
Oliver Wallis,25,"April 3, 1998",Business owner,"Surrey, England",Dumped
Olivia Attwood,32,"May 2, 1991",Motorsport Grid Girl,"Surrey, England",3rd Place
Olivia Bowen,29,"January 3, 1994",Sales Executive,"Essex, England",Runner-Up
Olivia Hawkins,27,"June 20, 1995",Ring girl and actress,"Brighton, England",Dumped
Olivia Kaiser,30,"July 12, 1992",Business Owner,"Anchorage, Alaska",Winner
Ollie Williams,27,"January 18, 1996",Land owner,"Cornwall, England",Walked
Omar Sultani,30,"November 15, 1992",IT Recruiter,"Warwickshire, England",Dumped
Omid Rosander,24,,Bartender,"Kristiansand, Norway",Runner-Up
Ovie Soko,32,"February 7, 1991",Professional basketball player,"London, England",3rd Place
Paige Thorne,25,"September 14, 1997",Paramedia,"Swansea, Wales",Participating
Paige Turley,25,"August 14, 1997",Singer,"West Lothian, Scotland",Winner
Panagiotis Avramopoulos,,,Windsurf coach,"Athens, Greece",Participating
Paola Rodriguez,28,,Cyberinvestigation Student,"L'Île-Bizard, Canada",Participating
Pat Albasha,28,,Attorney,"San Jose, California",Dumped
Patryk Piechocki,23,1999,Personal trainer,"Bydgoszcz, Poland",Dumped
Patryk Strużyna,34,,Height Worker,"Katowice, Poland",Dumped
Patryk Szczypczyk,30,,Office worker,"Eindhoven, Netherlands",Dumped
Paul Knops,36,"November 11, 1986",ModelCarpenter (former),"Bournemouth, England",Runner-Up
Paula Wilk,23,,Makeup Artist,"Wroclaw, Poland",Dumped
Paweł Hys,25,,Business co-owner,"Bydgoszcz, Poland",Dumped
Paweł Michalski,32,,Personal trainer,"Warsaw, Poland",Walked
Paweł Pośpiech,29,,,Netherlands,Dumped
Philipp Laicher,29,,Fitness Influencer,"Konstanz, Germany",Dumped
Phoebe Han,,"November 28, 1999",Deli worker,"Brisbane, Queensland",Participating
Phoebe Siegel,22,"February 10, 2001",Student,"Bedford Hills, New York",Dumped
Phoebe Spiller,,,Fashion Student,"Sydney, New South Wales",Participating
Phoebe Thompson,30,"March 1, 1993",Credit Analyst,"Sydney, New South Wales",Dumped
Pia Ezra,25,,Office worker,"Cologne, Germany",Dumped
Piotrek Nowakowski,27,,Miner,"Lubin, Poland",Dumped
Poppy Farnan,29,"June 12, 1993",Online boutique owner,"Cheshire, England",Dumped
Priscilla Anyabu,28,"December 7, 1994",Model and Operations Manager,"Battersea, England",Dumped
Priya Gopaldas,25,"October 26, 1997",Medical Student,"London, England",Dumped
Rachael Evren,23,"February 17, 2000",Pilates InstructorSocial Media Creator,"Gold Coast, Queensland",Dumped
Rachel Christie,34,"July 24, 1988",Former athlete and model,"London, England",Dumped
Rachel Fenton,30,"September 18, 1992",Nurse,"Hampshire, England",Dumped
Rachel Finni,29,"April 25, 1992",Luxury travel specialist,"Cockfosters, England",Dumped
Rachel Lundell,21,,College student,"Minneapolis, Minnesota",Dumped
Raphaël Tremblay,23,,Hairdresser,"Chicoutimi, Canada",Participating
Raul Frias,26,"April 3, 1997",Basketball Player,"Hialeah, Florida",Dumped
Ray Drisdale,23,,Chef,"Amsterdam, Netherlands",Dumped
Ray Gantt,27,"April 29, 1996",Student and promoter,"Lakewood, New Jersey",3rd Place
Rebecca Gormley,25,"April 18, 1998",Part-time model and carer,"Newcastle, England",Dumped
Reece Ford,23,"November 28, 1998",Model,"Coventry, England",Dumped
Remi Lambert,23,"March 2, 2000",Model,"Manchester, England",Dumped
Ricarda Raatz,27,,Model,"Erkrath, Germany",Dumped
Rob Lipsett,31,"January 17, 1992",Entrepreneur,"Dublin, Ireland",Dumped
Roksana Nitarska-Wójcik,28,1993,Logistics,"Krakow, Poland",Dumped
Roman Raamo,28,,Machine Operator,"Hamburg, Germany",3rd Place
Ron Hall,25,"August 20, 1997",Financial advisor,"Essex, England",Runner-Up
Ronni Krongold,21,,Personal trainer,"Sydney, New South Wales",Dumped
Rosie Seabrook,24,"July 23, 1998",Industry Placement Advisor,"Buckinghamshire, England",Dumped
Rosie Williams,31,"September 26, 1991",Solicitor,"South Wales, Wales",Dumped
Roxanna Ahmad,,,Account Manager,"London, United Kingdom",Dumped
Rubie Michelle,23,,AuthorModel,"Terrebonne, Canada",Walked
Ruby Ennor,,,,"Gold Coast, Queensland",Dumped
Ryan Reid,27,"December 12, 1995",Carpenter,"Terrigal, New South Wales",Dumped
Ryan Weekley,22,"November 8, 2000",Steel Erector,"Nottingham, England",Dumped
Rykard Jenkins,32,"March 10, 1991",Personal Trainer,"Kent, England",Walked
Sabina Marshall,,,Influencer,"Brno, Czech Republic",Participating
Sabrina Doberstein,25,,Model,"Neukirchen-Vluyn, Germany",Dumped
Sadee Sub Luban,,,Law StudentRugby league player,"Sydney, New South Wales",Dumped
Salma Naran,21,"May 30, 2001",Model and Influencer,"Dublin, Ireland",Dumped
Sam Bird,30,"November 28, 1992",EntrepreneurPersonal Trainer,"Norwich, England",Dumped
Sam Gowland,27,"August 2, 1995",Oil Rig Worker,"Middlesbrough, England",Dumped
Sam Jackson,25,"March 7, 1998",Maintenance Manager,"Clitheroe, England",Dumped
Sam Kornse,24,,Sales Representative,"Phillipsburg, New Jersey",Dumped
Sam Withers,32,"November 29, 1990",DJ,"Melbourne, Australia",Dumped
Samie Elishi,23,"February 15, 2000",Senior estate agent coordinator,"London, England",3rd Place
Samira Berkane,22,,Train Conductor,"Hamburg, Germany",Runner-Up
Samira Mighty,27,"November 16, 1995",West End Performer,"London, England",Walked
Sammy James,27,April 1995,Beauty Buyer,"Leicester, England",Dumped
Samuel Agbiji,22,"May 25, 2000",Model,"Manchester, England",Dumped
Samuel Lemay,,,Automotive Warehouse Manager,"Grenville-sur-la-Rouge, Canada",Dumped
Sanam Harrinanan,,May 1998,Social Worker,"Bedford, England",Winner
Sandra Dorsz,22,,ModelInfluencer,"Warsaw, Poland",Participating
Sandra Kosik,21,,Businesswoman,"Warsaw, Poland",Participating
Sandrine Seguin,,,Entrepreneur,"Montreal, Canada",Dumped
Sanpreet Singh,27,,Osteopath,"Drobak, Norway",Dumped
Sara Alm,,,Store manager,"Ängelholm, Sweden",Participating
Sara Bergmannova,,,Student,"Prague, Czech Republic",Dumped
Sara Ciuła,26,,Interior Architect,"Wroclaw, Poland",4th Place
Sara Marshall,,,Influencer,"Brno, Czech Republic",Participating
Savanna Darnell,27,"October 28, 1995",SingerDancer,"Sheffield, England",Dumped
Scott Thomas,34,"August 11, 1988",Club promoter,"Manchester, England",3rd Place
Sebastian Kalinowski,26,,Personal trainer,"Gdańsk, Poland",Runner-Up
Sereniti Springs,28,,Bartender,"New Orleans, Louisiana",Dumped
Sha Senior,26,,Model,"Heemstede, Netherlands",Dumped
Shannen McGrath,29,"January 5, 1994",,"Dublin, Ireland",Dumped
Shannon Singh,24,"July 7, 1998",Model,"Fife, Scotland",Dumped
Shannon St. Clair,27,"March 14, 1996",Construction Company Controller,"Bucks County, Pennsylvania",Walked
Shaq Muhammad,25,"March 31, 1998",Airport security officer,"London, England",4th Place
Sharon Gaffka,27,"December 1, 1995",Civil Servant – Operations Lead for Department of Transport,"Oxford, England",Dumped
Shaughna Phillips,29,"April 11, 1994",Democratic Services Officer,"London, England",Dumped
Shayne Tino,,,Fashion designer,"Melbourne, Victoria",Dumped
Shelby Bilby,29,"December 16, 1993",,"Toowoomba, Australia",Dumped
Sher Suarez,25,"March 19, 1998",Hostess,"Miami, Florida",Dumped
Sherif Lanre,24,"April 17, 1999",Chef and semi-professional rugby player,"London, England",Removed
Siannise Fudge,28,"July 5, 1994",Beauty consultant,"Bristol, England",Runner-Up
Sidney Wolf,32,,Actor and Model,"Dusseldorf, Germany",Winner
Simon Ceberg,26,,Transport,"Stockholm, Sweden",Participating
Simon Searles,35,"March 15, 1988",Barber,"Leeds, England",Dumped
Slade Parker,,,Printing and Advertising Business Owner,"Rome, Georgia",Walked
Sofie Antonsen,20,,Social media influencer,"Farsund, Norway",Dumped
Sophie Gradon,,"October 25, 1985",International Circus performer,"Kent, England",Walked
Sophie Piper,24,"October 27, 1998",Medical PA,"Essex, England",Dumped
Spencer Wilks,24,,E-Commerce Business Owner,"Bournemouth, England",Dumped
Stanley Louis,28,,Kinesiologist,"Montreal, Canada",Dumped
Stefan Andruch,,,IT Specialist,"Prague, Czech Republic",Dumped
Stella Hutcheon,25,"November 28, 1997",Radio Media Coordinator,"Brisbane, Queensland",Participating
Stephanie Lam,28,"March 13, 1995",Account ManagerModel,"Hertfordshire, England",Dumped
Steve Ball,25,,Plumber,"Wiltshire, England",Dumped
Stevie Bradley,21,"February 21, 1998",Student,Isle of Man,Dumped
Summer Botwe,23,"March 15, 2000",Business Owner,"Hertfordshire, England",Dumped
Sydney Paight,23,"October 9, 1999",Operations Manager,"Los Angeles, California",Runner-Up
Tak Chipangura,22,"June 29, 2000",Security GuardTik Tok Rapper,"Brisbane, Queensland",Participating
Taku Chimwaza,,,Rugby player,"Wollongong, New South Wales",Dumped
Tamara Vanousova,,,Yoga teacher,"Brno, Czech Republic",Dumped
Tanja Løvik,29,,Makeup artist,"Trondheim, Norway",Dumped
Tanya Manhenga,23,"January 31, 2000",Student and influencer,"Liverpool, England",4th Place
Tanyel Revan,26,"May 16, 1996",Hair Stylist,"North London, England",Dumped
Tasha Ghouri,24,"August 11, 1998",Model and Dancer,"Thirsk, England",4th Place
Tayla Damir,26,"November 26, 1996",Beauty Queen,"Perth, Australia",Winner
Tayla Mellington,,,Customer service representative,"Gold Coast, Queensland",Dumped
Tea Frazer,20,,Retail Assistant,"Perth, Western Australia",Dumped
Teddy Briggs,25,1993,Model,"Adelaide, Australia",Dumped
Teddy Soares,26,"April 6, 1995",Senior Financial Consultant,"Manchester, England",3rd Place
Terry Walsh,34,"July 4, 1988",Carpenter,"Surrey, England",Dumped
Thammy Dias,29,,Flame blower,"Larvik, Norway",Dumped
Theo Campbell,31,"July 14, 1991",Athlete,"Bath, England",Dumped
Thijs Bouma,27,,Model,"Amsterdam, Netherlands",Runner-Up
Thodoris Kontoleon,,,Bartender,"Athens, Greece",Dumped
Thomas Brien,23,,Marketing Consultant,"Fredrikstad, Norway",Dumped
Thérèse Ström,27,"June 30, 1992",Student,"Malmö, Sweden",Participating
Tigerlily Cooley,24,"May 12, 1998",Entrepreneur,"Seattle, Washington",Dumped
Timmy Pandolfi,29,"June 5, 1993",Realtor and Personal Trainer,"Los Angeles, California",Winner
Tina Provis,27,"May 1, 1996",PR Consultant,"Sydney, New South Wales",Winner
Tina Stinnes,28,"February 25, 1995",Student,"London, England",Dumped
Toby Aromolaran,24,"March 3, 1999",Semi-pro footballer,"Essex, England",Runner-Up
Todd Elton,30,"April 29, 1993",Former Australian Football League Player,"Melbourne, Victoria",Dumped
Tom Clare,23,"September 2, 1999",Semi-professional footballer,"Barnsley, England",3rd Place
Tom Powell,31,"December 26, 1991",Barman and fitness instructor,"Port Talbot, Wales",Dumped
Tom Walker,29,"January 1, 1990",Model,"Leeds, England",Dumped
Tommy Fury,23,"May 7, 1999",Boxer,"Manchester, England",Runner-Up
Tommy-Lee Labonte,,,Plumber,"Saint-Hubert, Canada",3rd Place
Tony Alberti,36,"May 6, 1986",Property developer,"Manchester, England",Dumped
Travis Almond,30,"January 19, 1993","PT, Butler in the Buff and Bouncer","Essex, England",Dumped
Tre Forte,25,"November 28, 1994",Personal Trainer,"Boca Raton, Florida",Dumped
Tre Watson,26,,Youth Football Coach,"Corona, California",Dumped
Trina Njoroge,27,"April 13, 1996",Psychiatric Nurse,"Hacienda Heights, California",Dumped
Troy Frith,29,"September 10, 1993",Salesman,"Kent, England",Dumped
Tyla Carr,30,"January 29, 1993",Model,"Surrey, England",Dumped
Tyler Cruickshank,27,"May 12, 1995",Estate agent,"Croydon, England",4th Place
Tyler Radziszewski,24,"March 2, 1999",Student,"Cleveland, Ohio",Dumped
Tyne-Lexy Clarson,26,"February 2, 1997",Student,"Birmingham, England",Dumped
Vakoo Kauapirua,,"June 30, 1995",Model,"Sydney, New South Wales",Dumped
Valerie Bragg,23,,Nutritional Consultant,"San José, Costa Rica",Dumped
Valerie van Zandvoort,27,,,"Nairobi, Kenya",Dumped
Vanessa Joli,28,"October 8, 1994",Business Woman,"Sydney, Australia",Dumped
Vasilis Ntafos,,,Bar Owner,"Piraeus, Greece",Participating
Victor Barstad,23,,Car salesman,"Lillestrom, Norway",Dumped
Victoria Vermeer,20,,Model,"Amsterdam, Netherlands",3rd Place
Vivien Michalla,26,,,"Mühlheim an der Ruhr, Germany",Winner
Véroniqua Dodd,,,Eyelash Technician,"Saint-Jean-sur-Richelieu, Canada",3rd Place
Wallace Wilson,27,"November 4, 1995",Personal trainer,"Inverness, Scotland",Dumped
Weronika Bolchajmer,33,,Real Estate Agent,"Warsaw, Poland",Dumped
Weronika Piątek,22,,Influencer,"Warsaw, Poland",3rd Place
Wes Nelson,24,"May 3, 1998",Electrical and Nuclear Systems Design Engineer,"Staffordshire, England",4th Place
Wesley Ogsbury,,,Entrepreneur,"Denver, Colorado",Dumped
Weston Richey,25,July 1993,Photographer,"Dallas, Texas",4th Place
Wiktoria Kowalczyk,24,,Customer Advisor,"Belfast, Northern Ireland",Dumped
